Quarter-Year,Revenues (Million USD)
Q3-2009,2403.9
Q1-2010,2722.7
Q2-2010,2534.7
Q3-2010,2612
Q4-2010,2838
Q1-2011,2950.8
Q2-2011,2785.7
Q3-2011,2932.2
Q4-2011,3031.7
Q1-2012,3435.9
Q2-2012,3195.9
Q3-2012,3303.6
Q4-2012,3341.4
Q1-2013,3793.2
Q2-2013,3549.6
Q3-2013,3735.3
Q4-2013,3788.8
Q1-2014,4239.6
Q2-2014,3873.8
Q3-2014,4153.7
Q4-2014,4180.8
Q1-2015,4803.2
Q2-2015,4563.5
Q3-2015,4881.2
Q4-2015,4914.8
Q1-2016,5373.5
Q2-2016,4993.2
Q3-2016,5238
Q4-2016,5711.2
Q1-2017,5732.9
Q2-2017,5294
Q3-2017,5661.5
Q4-2017,5698.3
Q1-2018,6073.7
Q2-2018,6031.8
Q3-2018,6310.3
Q4-2018,6303.6
Q1-2019,6632.7
Q2-2019,6305.9
Q3-2019,6823
Q4-2019,6747
Q1-2020,7097.1
Q2-2020,5995.7
Q3-2020,4222.1
Q4-2020,6203.1
Q1-2021,6749.4
Q2-2021,6668
Q3-2021,7496.5
Q4-2021,8146.7
Q1-2022,8050.4
Q2-2022,7635.6
Q3-2022,8150.1
Q4-2022,8414.2
Q1-2023,8713.9
Q2-2023,8719.8
Q3-2023,9168.3
Q4-2023,9373.6
Q2-2024,8563
